state_code,district_code,subdistrict_code,region_name,population_1951,population_1961,population_1971,population_1981,population_1991,population_2001,population_2011
9,0,0,UTTAR PRADESH,60265764,70129577,83848838,105136540,132061653,166197921,199812341
9,173,0,Pratapgarh,1109183,1252196,1422707,1801049,2210700,2731174,3209141
9,173,880,Lalganj,225108,256401,282633,355001,427369,523979,610526
9,173,881,Kunda,299648,340661,395935,643614,609972,767234,910447
9,173,882,Pratapgarh,225245,249471,283163,611200,454090,552028,640208
9,173,883,Patti,214339,237612,270598,546235,424994,524949,610548
9,173,884,Raniganj,144843,168051,190378,242326,294275,362984,437412
9,175,0,Allahabad,1575624,1883014,2292618,2984002,3899660,4937266,5954391
9,175,888,Soraon,234326,276707,323768,428011,551252,687650,823190
9,175,889,Phulpur,228798,271921,330377,426014,563999,716965,859421
9,175,890,Allahabad,417271,504599,604296,759443,980444,1198150,1395816
9,175,891,Bara,89158,105855,132348,171031,225686,291819,365605
9,175,892,Karchhana ,156448,183790,223605,294463,381259,495431,606924
9,175,893,Handia,243177,287660,350993,467637,619015,776275,944717
9,175,894,Meja,136596,164737,206222,272839,360176,471851,579879
9,175,895,Koraon,69850,87745,121009,164564,217829,299125,378839
9,194,0,Jaunpur,1517446,1727264,2005434,2532734,3214636,3911679,4494204
9,194,981,Shahganj,236972,267842,319407,397346,503342,633960,761994
9,194,982,Badlapur,156189,178212,210077,263107,324980,400683,456043
9,194,983,Machhlishahr,254345,283035,318039,402370,523047,631923,736209
9,194,984,Jaunpur,342252,394575,466384,598806,758364,927827,1075544
9,194,985,Mariahu ,288252,325917,368411,476022,616950,733570,800862
9,194,986,Kerakat,239436,277683,323116,395083,487953,583716,663552
9,197,0,Varanasi,1046066,1238908,1514420,1919746,2508110,3138671,3676841
9,197,995,Pindra,190249,225289,264461,336294,434060,541629,627298
9,197,996,Varanasi,855817,1013619,1249959,1583452,2074050,2597042,3049543
9,198,0,Sant Ravidas Nagar (Bhadohi),388471,464317,557307,780014,1077633,1353705,1578213
9,198,997,Bhadohi,146518,170226,198311,275873,389459,488688,568985
9,198,998,Gyanpur,141226,170856,208537,293278,394201,491558,567801
9,198,999,Aurai,100727,123235,150459,210863,293973,373459,441427
